"COUB","Country of birth","FBORN","Place of birth","EDU","Education level","AGE","Age","SEX","Sex","COU","Country of residence","Value","Flag Codes","Flags"
"UNK","Unknown place of birth (foreign-born status unknown)","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",437443,,
"AFRI","Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",22835,,
"DZA","Algeria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",8,,
"BWA","Botswana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",263,,
"COD","Congo, Dem. Rep. Of","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",9,,
"CIV","Côte d’Ivoire","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",4,,
"EGY","Egypt","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1616,,
"ERI","Eritrea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",219,,
"ETH","Ethiopia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",481,,
"GHA","Ghana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",331,,
"KEN","Kenya","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1008,,
"LSO","Lesotho","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",5,,
"LBY","Libya","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",102,,
"MWI","Malawi","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",32,,
"MUS","Mauritius","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1875,,
"MAR","Morocco","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",27,,
"MOZ","Mozambique","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",19,,
"NAM","Namibia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",31,,
"NGA","Nigeria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",199,,
"SYC","Seychelles","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",189,,
"SLE","Sierra Leone","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",50,,
"SOM","Somalia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",895,,
"ZAF","South Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",11562,,
"SEN","Senegal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",4,,
"SDN","Sudan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",927,,
"SWZ","Swaziland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",4,,
"UGA","Uganda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",62,,
"TZA","United Rep. of Tanzania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",82,,
"ZMB","Zambia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",346,,
"ZWE","Zimbabwe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1707,,
"AFRI_UN","Unknown place of birth in Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",778,,
"ASIA_UN","Unknown place of birth in Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",720,,
"VNM","Vietnam","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",22040,,
"YEM","Yemen","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",5,,
"USSR-UZB","Uzbekistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",51,,
"ARE","United Arab Emirates","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",627,,
"LKA","Sri Lanka","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",6626,,
"SYR","Syria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",565,,
"THA","Thailand","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",7188,,
"TLS","Timor-Leste","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",957,,
"KOREA-SO","South Korea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",8321,,
"SGP","Singapore","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",8117,,
"SAU","Saudi Arabia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",455,,
"QAT","Qatar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",60,,
"PSE","Occup. Palestinian Terr.","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",88,,
"OMN","Oman","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",90,,
"PAK","Pakistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1690,,
"PHL","Philippines","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",16525,,
"MMR","Myanmar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",868,,
"NPL","Nepal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",736,,
"MNG","Mongolia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",10,,
"MYS","Malaysia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",18173,,
"MDV","Maldives","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",71,,
"LBN","Lebanon","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",5922,,
"MAC","Macau","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",445,,
"KWT","Kuwait","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",682,,
"LAO","Laos","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1099,,
"JPN","Japan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",4775,,
"JOR","Jordan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",422,,
"USSR-KAZ","Kazakhstan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",44,,
"HKG","Hong Kong","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",19255,,
"ISR","Israel","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",809,,
"IND","India","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",10862,,
"IDN","Indonesia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",15292,,
"IRN","Iran","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",2969,,
"IRQ","Iraq","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3885,,
"CHN","China","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",17550,,
"TWN","Chinese Taipei","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",8465,,
"KHM","Cambodia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3213,,
"BRN","Brunei Darussalam","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",779,,
"BTN","Bhutan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",8,,
"BHR","Bahrain","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",205,,
"BGD","Bangladesh","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1640,,
"USSR-ARM","Armenia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",93,,
"AFG","Afghanistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3097,,
"ASIA","Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",195494,,
"EURO","Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",86717,,
"ALB","Albania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",141,,
"USSR-BLR","Belarus","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",83,,
"BEL","Belgium","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",287,,
"AUT","Austria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",560,,
"FYUG-BIH","Bosnia-Herzegovina","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3696,,
"BGR","Bulgaria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",238,,
"CYP","Cyprus","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",437,,
"CSFR-CZE","Czech Republic","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",603,,
"DNK","Denmark","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",450,,
"FYUG-HRV","Croatia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",2180,,
"IRL","Ireland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3733,,
"ITA","Italy","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1418,,
"HUN","Hungary","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",674,,
"ISL","Iceland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",43,,
"GRC","Greece","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1447,,
"USSR-GEO","Georgia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",14,,
"DEU","Germany","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3327,,
"FIN","Finland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",142,,
"FRA","France","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1397,,
"USSR-LVA","Latvia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",91,,
"USSR-LTU","Lithuania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",40,,
"LUX","Luxembourg","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",4,,
"FYUG-MKD","Macedonia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",2614,,
"USSR-MDA","Moldova","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",46,,
"MLT","Malta","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",557,,
"NLD","Netherlands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1555,,
"NOR","Norway","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1347,,
"ROU","Romania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1574,,
"USSR-RUS","Russia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1627,,
"POL","Poland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",4311,,
"PRT","Portugal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1707,,
"CSFR-SVK","Slovak Republic","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",391,,
"FYUG-SVN","Slovenia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",89,,
"ESP","Spain","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",482,,
"FYUG-YUG","Serbia and Montenegro","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3239,,
"TUR","Türkiye","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",2297,,
"SWE","Sweden","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",826,,
"CHE","Switzerland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",745,,
"GBR","United Kingdom","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",40591,,
"USSR-UKR","Ukraine","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",946,,
"EURO_UN","Unknown place of birth in Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",768,,
"USA","United States","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",6650,,
"CAN","Canada","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3381,,
"NOAM","North America","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",10031,,
"OCEA","Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",2098053,,
"ASM","American Samoa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",30,,
"AUS","Australia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",2036760,,
"COK","Cook Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",618,,
"NZL","New Zealand","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",46045,,
"NRU","Nauru","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",58,,
"FJI","Fiji","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",7754,,
"KIR","Kiribati","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",17,,
"TKL","Tokelau","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",21,,
"TON","Tonga","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",798,,
"SLB","Solomon Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",182,,
"WSM","Samoa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1606,,
"NIU","Niue","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",20,,
"NFK","Norfolk Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",36,,
"PNG","Papua New Guinea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",3587,,
"OCEA_UN","Unknown place of birth in Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",408,,
"VUT","Vanuatu","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",113,,
"VEN","Venezuela","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",171,,
"SCAC_UN","Unknown place of birth in South and Central America and Carribean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",527,,
"SLV","Salvador","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",2591,,
"PAN","Panama","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",4,,
"PRY","Paraguay","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",10,,
"PER","Peru","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",687,,
"TTO","Trinidad and Tobago","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",51,,
"URY","Uruguay","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",390,,
"GTM","Guatemala","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",31,,
"HND","Honduras","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",28,,
"JAM","Jamaica","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",15,,
"HTI","Haiti","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",11,,
"MEX","Mexico","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",166,,
"NIC","Nicaragua","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",136,,
"CRI","Costa Rica","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",61,,
"COL","Colombia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",768,,
"CHL","Chile","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",2738,,
"ECU","Ecuador","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",104,,
"ARG","Argentina","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",1115,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",10533,,
"BOL","Bolivia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",73,,
"BRA","Brazil","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",842,,
"BMU","Bermuda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",9,,
"BHS","Bahamas","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",5,,
"OTHER","Other and unknown places of birth","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",142683,,
"OTH","Other place of birth (foreign-born)","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",194,,
"UNK","Unknown place of birth (foreign-born status unknown)","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","1_2","15-24 years","ALL_SEX","Men and women","AUS","Australia",142489,,
"AFRI","Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",20455,,
"DZA","Algeria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",98,,
"AGO","Angola","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"EGY","Egypt","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",8521,,
"ERI","Eritrea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",15,,
"ETH","Ethiopia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",99,,
"GHA","Ghana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",27,,
"KEN","Kenya","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",407,,
"LBY","Libya","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",262,,
"MDG","Madagascar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",4,,
"MWI","Malawi","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",5,,
"MUS","Mauritius","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",2413,,
"MAR","Morocco","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",100,,
"MOZ","Mozambique","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",28,,
"NAM","Namibia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",14,,
"SYC","Seychelles","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",430,,
"SOM","Somalia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",39,,
"ZAF","South Africa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","11_12","65+ years","ALL_SEX","Men and women","AUS","Australia",6307,,
